rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
190,frame_0093.jpg,37.2,0.3365,0.4913,0.1429,0.24,2,1,False,False
191,frame_0313.jpg,125.2,0.3358,0.5698,0.1429,0.04,2,1,False,False
192,frame_0207.jpg,82.8,0.3355,0.2653,0.1429,0.8,3,1,False,False
193,frame_0212.jpg,84.8,0.3303,0.3348,0.1429,0.6,1,1,False,False
194,frame_0370.jpg,148.0,0.3276,0.3821,0.4286,0.04,5,3,False,False
195,frame_0085.jpg,34.0,0.3256,0.3415,0.1429,0.56,2,1,False,False
196,frame_0197.jpg,78.8,0.3173,0.3888,0.1429,0.4,1,1,False,False
197,frame_0204.jpg,81.6,0.3166,0.2754,0.1429,0.68,2,1,False,False
198,frame_0181.jpg,72.4,0.3153,0.3574,0.4286,0.04,5,3,False,False
199,frame_0268.jpg,107.2,0.3152,0.3413,0.4286,0.08,5,3,False,False
200,frame_0381.jpg,152.4,0.3132,0.3532,0.4286,0.04,7,3,False,False
201,frame_0084.jpg,33.6,0.3129,0.3001,0.1429,0.6,3,1,False,False
202,frame_0322.jpg,128.8,0.3123,0.3034,0.4286,0.16,5,3,False,False
203,frame_0203.jpg,81.2,0.3073,0.2729,0.1429,0.64,4,1,False,False
204,frame_0372.jpg,148.8,0.3016,0.3838,0.2857,0.12,5,2,False,False
205,frame_0109.jpg,43.6,0.3015,0.3138,0.4286,0.08,6,3,False,False
206,frame_0221.jpg,88.4,0.3014,0.3353,0.2857,0.24,4,2,False,False
207,frame_0188.jpg,75.2,0.3002,0.413,0.2857,0.04,9,2,False,False
208,frame_0171.jpg,68.4,0.2978,0.2481,0.2857,0.44,6,2,False,False
209,frame_0178.jpg,71.2,0.2969,0.4441,0.1429,0.16,5,1,False,False
210,frame_0382.jpg,152.8,0.2969,0.3903,0.2857,0.08,3,2,False,False
211,frame_0191.jpg,76.4,0.2954,0.3553,0.2857,0.16,3,2,False,False
212,frame_0179.jpg,71.6,0.2941,0.3688,0.2857,0.12,5,2,False,False
213,frame_0316.jpg,126.4,0.2929,0.3504,0.2857,0.16,7,2,False,False
214,frame_0022.jpg,8.8,0.2907,0.1814,0.0,1.0,2,0,False,False
215,frame_0310.jpg,124.0,0.289,0.3746,0.2857,0.08,3,2,False,False
216,frame_0192.jpg,76.8,0.2873,0.3231,0.2857,0.2,4,2,False,False
217,frame_0113.jpg,45.2,0.2844,0.3014,0.2857,0.24,5,2,False,False
218,frame_0097.jpg,38.8,0.2833,0.3632,0.2857,0.08,5,2,False,False
219,frame_0399.jpg,159.6,0.2833,0.3688,0.1429,0.28,6,1,False,False
220,frame_0211.jpg,84.4,0.2816,0.2214,0.1429,0.64,2,1,False,False
221,frame_0371.jpg,148.4,0.278,0.3526,0.2857,0.08,4,2,False,False
222,frame_0198.jpg,79.2,0.2761,0.2905,0.1429,0.44,2,1,False,False
223,frame_0086.jpg,34.4,0.2759,0.2581,0.1429,0.52,4,1,False,False
224,frame_0233.jpg,93.2,0.2752,0.3686,0.1429,0.24,4,1,False,False
225,frame_0394.jpg,157.6,0.2751,0.4324,0.1429,0.08,4,1,False,False
226,frame_0323.jpg,129.2,0.2729,0.3264,0.2857,0.12,4,2,False,False
227,frame_0321.jpg,128.4,0.2706,0.2898,0.2857,0.2,5,2,False,False
228,frame_0215.jpg,86.0,0.2676,0.2575,0.1429,0.48,3,1,False,False
229,frame_0315.jpg,126.0,0.2659,0.398,0.1429,0.12,6,1,False,False
230,frame_0108.jpg,43.2,0.2654,0.3434,0.2857,0.04,5,2,False,False
231,frame_0195.jpg,78.0,0.2621,0.3104,0.1429,0.32,4,1,False,False
232,frame_0094.jpg,37.6,0.2594,0.3531,0.1429,0.2,5,1,False,False
233,frame_0180.jpg,72.0,0.2535,0.3036,0.2857,0.08,6,2,False,False
234,frame_0314.jpg,125.6,0.2525,0.3872,0.1429,0.08,4,1,False,False
235,frame_0325.jpg,130.0,0.249,0.3105,0.2857,0.04,4,2,False,False
236,frame_0267.jpg,106.8,0.2486,0.2778,0.2857,0.12,5,2,False,False
237,frame_0308.jpg,123.2,0.2486,0.2617,0.2857,0.16,5,2,False,False
238,frame_0083.jpg,33.2,0.2374,0.2189,0.0,0.64,3,0,False,False
239,frame_0309.jpg,123.6,0.2328,0.3318,0.1429,0.12,4,1,False,False
240,frame_0205.jpg,82.0,0.2314,0.1749,0.0,0.72,2,0,False,False
